tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,GameShow,History,Music,Musical,News,RealityTV,SciFi,Short,Sport,TalkShow,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector,yearsSinceProduced
tt0132245,Driven,Driven,0,2001,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6,40548.0,94000000,54744738,0,0,20
tt0133152,Planet of the Apes,Planet of the Apes,0,2001,119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,215552.0,170000000,710644566,0,1,20
tt0133240,Treasure Planet,Treasure Planet,0,2002,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,110642.0,140000000,109578115,0,0,19
tt0134084,Scream 3,Scream 3,0,2000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,130855.0,40000000,161834276,0,1,21
tt0134847,Pitch Black,Pitch Black,0,2000,109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.1,232604.0,23000000,53187659,0,0,21
tt0135707,Wind River,Wind River,0,2000,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.4,375.0,11000000,44998252,0,0,21
tt0138288,All Saints Day,All Saints Day,0,2000,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,81.0,8000000,10629321,0,0,21
tt0138524,Intolerable Cruelty,Intolerable Cruelty,0,2003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,95119.0,60000000,119940815,1,1,18
tt0138749,The Road to El Dorado,The Road to El Dorado,0,2000,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,90882.0,95000000,76432727,0,0,21
tt0139654,Training Day,Training Day,0,2001,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,412783.0,45000000,104876233,1,1,20
tt0141907,Town & Country,Town & Country,0,2001,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4919.0,90000000,10372291,0,1,20
tt0141926,U-571,U-571,0,2000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.6,80698.0,62000000,127666415,1,1,21
tt0144528,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.4,50108.0,84000000,123307945,0,0,21
tt0144964,Highlander: Endgame,Highlander: Endgame,0,2000,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,20062.0,25000000,15843608,0,0,21
tt0145487,Spider-Man,Spider-Man,0,2002,121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,732640.0,139000000,821708551,0,1,19
tt0145937,Naqoyqatsi,Naqoyqatsi,0,2002,89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.6,5757.0,3000000,13308,1,0,19
tt0146309,Thirteen Days,Thirteen Days,0,2000,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.3,57260.0,80000000,34566746,0,0,21
tt0146316,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,204844.0,115000000,274703340,1,0,20
tt0146882,High Fidelity,High Fidelity,0,2000,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.5,174689.0,30000000,47126295,0,0,21
tt0146984,The Legend of Bagger Vance,The Legend of Bagger Vance,0,2000,126,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.7,55644.0,80000000,39459427,1,1,21
tt0151685,Love,My Father's Love,0,2001,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,20.0,30000000,102820008,0,0,20
tt0156812,My Dog Skip,My Dog Skip,0,2000,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,20012.0,6000000,35547761,0,0,21
tt0156841,The Next Best Thing,The Next Best Thing,0,2000,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,11162.0,25000000,24362772,0,0,21
tt0157472,Clockstoppers,Clockstoppers,0,2002,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,13977.0,26000000,38793283,0,0,19
tt0158622,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,22992.0,83000000,59468275,0,0,21
tt0159273,Behind Enemy Lines,Behind Enemy Lines,0,2001,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,102568.0,40000000,91753202,1,0,20
tt0159365,Cold Mountain,Cold Mountain,0,2003,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.2,144690.0,79000000,173013509,0,1,18
tt0159371,Impact,Coping,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,91.0,15000000,30102717,0,0,21
tt0160009,The Art of War,The Art of War,0,2000,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,29537.0,40000000,30199105,0,0,21
tt0160127,Charlie's Angels,Charlie's Angels,0,2000,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,182924.0,48000000,73279888,1,0,21
tt0160184,Eye See You,D-Tox,0,2002,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,26032.0,55000000,6632383,0,0,19
tt0160399,Impostor,Impostor,0,2001,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2,23313.0,40000000,8694320,0,0,20
tt0160484,Lost Souls,Lost Souls,0,2000,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,10824.0,50000000,31355910,0,0,21
tt0160706,The Prodigy,The Prodigy,0,2005,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,898.0,6000000,21150265,0,0,16
tt0160751,The Redemption,The Redemption,0,2000,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,19.0,25000000,28341469,0,0,21
tt0160797,Rules of Engagement,Rules of Engagement,0,2000,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.4,46433.0,60000000,71000000,1,1,21
tt0161021,Pure,Pure,0,2005,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,20.0,17010000,24941969,0,0,16
tt0161081,What Lies Beneath,What Lies Beneath,0,2000,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,122464.0,100000000,291420351,1,1,21
tt0161083,What's the Worst That Could Happen?,What's the Worst That Could Happen?,0,2001,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,15695.0,60000000,38400000,0,0,20
tt0161088,White Boy,White Boy,0,2002,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,313.0,29000000,26000000,0,0,19
tt0162222,Cast Away,Cast Away,0,2000,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,557830.0,90000000,429632142,1,1,21
tt0162650,Shaft,Shaft,0,2000,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,75723.0,30000000,21360215,1,0,21
tt0162983,Hanging Up,Hanging Up,0,2000,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,12422.0,60000000,51880044,0,0,21
tt0163025,Jurassic Park III,Jurassic Park III,0,2001,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.9,306601.0,93000000,368780809,0,0,20
tt0163596,Dark Water,Dark Water,0,2001,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,199.0,30000000,49483352,0,0,20
tt0163676,The in Crowd,The In Crowd,0,2000,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,4531.0,15000000,5217498,0,0,21
tt0164052,Hollow Man,Hollow Man,0,2000,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,127996.0,95000000,190213455,0,1,21
tt0164184,The Sum of All Fears,The Sum of All Fears,0,2002,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,111557.0,68000000,193921372,1,0,19
tt0164212,Under Suspicion,Under Suspicion,0,2000,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,24083.0,25000000,260562,1,0,21
tt0164334,Along Came a Spider,Along Came a Spider,0,2001,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,82016.0,60000000,105178561,1,0,20
tt0165361,Highway,Highway,0,2002,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,6370.0,15000000,3675201,0,0,19
tt0165928,Revenge,Revenge,0,2000,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,242.0,2900000,692079,0,0,21
tt0165929,Romeo Must Die,Romeo Must Die,0,2000,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,69100.0,25000000,91036760,0,0,21
tt0165982,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,0,2003,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,52328.0,60000000,80767884,1,0,18
tt0166110,Bones,Bones,0,2001,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,7427.0,65000000,93621340,0,0,20
tt0166276,Monkeybone,Monkeybone,0,2001,93,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,17485.0,75000000,5409517,0,0,20
tt0166813,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,0,2002,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,71910.0,80000000,122563539,1,0,19
tt0166924,Mulholland Drive,Mulholland Dr.,0,2001,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,339957.0,15000000,20117339,0,1,20
tt0167190,Hellboy,Hellboy,0,2004,122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,317095.0,50000000,44664690,0,1,17
tt0167203,I Dreamed of Africa,I Dreamed of Africa,0,2000,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,4591.0,34000000,14400327,0,0,21
tt0167260,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,1723261.0,94000000,1118888979,1,1,18
tt0167261,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,1557845.0,79000000,926287400,1,1,19
tt0167456,Thunderbirds,Thunderbirds,0,2004,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,13671.0,57000000,28283637,1,0,17
tt0168612,The Playaz Court,The Playaz Court,0,2000,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,158.0,10000,10000,0,0,21
tt0168629,Dancer in the Dark,Dancer in the Dark,0,2000,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,106531.0,12800000,40031879,0,1,21
tt0168786,Antwone Fisher,Antwone Fisher,0,2002,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,34802.0,12500000,23367586,1,0,19
tt0169102,Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India,0,2001,224,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.1,109872.0,5200000,8100000,0,0,20
tt0169579,Baggage,Baggage,0,2003,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,41.0,8500000,22456509,0,0,18
tt0170016,How the Grinch Stole Christmas,How the Grinch Stole Christmas,0,2000,104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2,223999.0,123000000,345141403,1,1,21
tt0170691,Tigerland,Tigerland,0,2000,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,40500.0,10000000,148701,0,0,21
tt0171433,Keeping the Faith,Keeping the Faith,0,2000,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,51169.0,30000000,59945183,1,0,21
tt0172156,Bad Boys II,Bad Boys II,0,2003,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,241334.0,130000000,273339556,1,0,18
tt0172495,Gladiator,Gladiator,0,2000,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,1411244.0,103000000,465361176,1,1,21
tt0172699,Labor Pains,Labor Pains,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,234.0,10000000,1895782,0,0,21
tt0173840,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,0,2001,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,81251.0,137000000,85131830,0,0,20
tt0175142,Scary Movie,Scary Movie,0,2000,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,247609.0,19000000,278019771,0,0,21
tt0176783,Gossip,Gossip,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,16273.0,14000000,5108820,0,0,21
tt0177650,Company Man,Company Man,0,2000,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,2070.0,16000000,146193,0,0,21
tt0177971,The Perfect Storm,The Perfect Storm,0,2000,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,162466.0,120000000,325756637,0,1,21
tt0178043,Stranger Than Fiction,Stranger Than Fiction,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,1297.0,30000000,53653224,0,0,21
tt0179098,Moonlight Mile,Moonlight Mile,0,2002,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,13963.0,21000000,10011050,1,0,19
tt0179435,The Proposal,The Proposal,0,2001,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,720.0,40000000,317375031,0,0,20
tt0179626,15 Minutes,15 Minutes,0,2001,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,49689.0,60000000,56359980,1,0,20
tt0180052,The Adventures of Pluto Nash,The Adventures of Pluto Nash,0,2002,95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.8,25440.0,100000000,7103973,0,0,19
tt0180073,Quills,Quills,0,2000,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,53169.0,13500000,7060876,1,0,21
tt0180093,Requiem for a Dream,Requiem for a Dream,0,2000,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,800765.0,4500000,7390108,0,1,21
tt0180734,Hardball,Hard Ball,0,2001,106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.4,30233.0,32000000,40222729,0,0,20
tt0181536,Finding Forrester,Finding Forrester,0,2000,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,85029.0,43000000,80049764,1,1,21
tt0181689,Minority Report,Minority Report,0,2002,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,529611.0,102000000,358372926,1,1,19
tt0181739,Osmosis Jones,Osmosis Jones,0,2001,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,34693.0,75000000,13596911,0,1,20
tt0181852,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,0,2003,109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,388060.0,200000000,435000000,0,0,18
tt0181865,Traffic,Traffic,0,2000,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,202651.0,48000000,207515725,1,1,21
tt0181875,Almost Famous,Almost Famous,0,2000,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,266484.0,60000000,47386287,0,1,21
tt0181984,Boiler Room,Boiler Room,0,2000,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,51644.0,7000000,28780255,0,0,21
tt0182000,The Caveman's Valentine,The Caveman's Valentine,0,2001,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.8,7832.0,13500000,794481,1,0,20
tt0182295,Love's Labour's Lost,Love's Labour's Lost,0,2000,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,4582.0,13000000,299792,0,0,21
tt0183505,"Me, Myself & Irene","Me, Myself & Irene",0,2000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,230935.0,51000000,149270999,1,1,21
tt0183523,Mission to Mars,Mission to Mars,0,2000,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,72256.0,90000000,60874615,1,1,21
tt0183649,Phone Booth,Phone Booth,0,2002,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,259975.0,13000000,97837138,0,1,19
tt0183790,A Knight's Tale,A Knight's Tale,0,2001,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,179875.0,65000000,117487473,1,0,20
tt0183869,Taxi 2,Taxi 2,0,2000,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,54270.0,10500000,64400000,0,1,21
tt0184858,Reindeer Games,Reindeer Games,0,2000,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,38990.0,42000000,32168970,0,1,21
tt0184894,Shanghai Noon,Shanghai Noon,0,2000,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,123916.0,55000000,56932305,0,0,21
tt0184907,Snow Day,Snow Day,0,2000,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,12127.0,130000000,62500000,0,0,21
tt0185183,Battlefield Earth,Battlefield Earth,0,2000,118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5,79046.0,73000000,29000000,0,0,21
tt0185431,Little Nicky,Little Nicky,0,2000,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,102280.0,85000000,58292295,0,0,21
tt0186045,Drowning Mona,Drowning Mona,0,2000,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,14137.0,6000000,15427192,0,0,21
tt0186151,Frequency,Frequency,0,2000,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,105280.0,31000000,68106245,0,0,21
tt0186566,Space Cowboys,Space Cowboys,0,2000,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,78682.0,65000000,128884132,1,1,21
tt0186589,Sugar & Spice,Sugar & Spice,0,2001,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,14040.0,11000000,13276953,0,0,20
tt0186894,Bounce,Bounce,0,2000,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,20590.0,35000000,36779296,0,0,21
tt0187078,Gone in 60 Seconds,Gone in Sixty Seconds,0,2000,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,269383.0,1000000,40000000,0,0,21
tt0187393,The Patriot,The Patriot,0,2000,165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.2,264170.0,110000000,215294342,1,1,21
tt0187696,Anatomy,Anatomie,0,2000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,12669.0,2000000,8000000,0,0,21
tt0187738,Blade II,Blade II,0,2002,117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,208975.0,54000000,155010032,0,1,19
tt0188028,Legacy,Legacy,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,143.0,161900000,148810604,0,0,21
tt0189456,Cut,Cut,0,2000,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,3418.0,20000000,55030051,0,0,21
tt0189998,Shadow of the Vampire,Shadow of the Vampire,0,2000,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,41223.0,8000000,8279017,0,0,21
tt0190138,The Whole Nine Yards,The Whole Nine Yards,0,2000,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,117171.0,41300000,106371651,0,0,21
tt0190374,Dungeons & Dragons,Dungeons & Dragons,0,2000,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7,32968.0,35000000,15185241,1,0,21
tt0190590,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",0,2000,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,299783.0,26000000,71868327,1,1,21
tt0190865,Vertical Limit,Vertical Limit,0,2000,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,60479.0,75000000,215663859,0,0,21
tt0191133,The Fighting Temptations,The Fighting Temptations,0,2003,123,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.6,7053.0,15000000,30238577,0,0,18
tt0191397,The Replacements,The Replacements,0,2000,118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.6,61443.0,50000000,50054511,1,0,21
tt0191754,28 Days,28 Days,0,2000,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,47640.0,5000000,85720385,0,0,21
tt0192111,Head Over Heels,Head Over Heels,0,2001,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,14372.0,14000000,13127022,0,0,20
tt0192255,The Little Vampire,The Little Vampire,0,2000,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,10292.0,35000000,27965865,0,0,21
tt0192614,The Skulls,The Skulls,0,2000,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,31852.0,15000000,35007180,0,0,21
tt0192731,Urban Legends: Final Cut,Urban Legends: Final Cut,0,2000,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,17103.0,14000000,38574362,0,0,21
tt0192947,12,12,0,2003,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.5,49.0,20000000,17280326,0,0,18
tt0193364,The Order,The Order,0,2001,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,8290.0,150000000,938212738,1,0,20
tt0193365,Orphan,Orphan,0,2001,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,29.0,20000000,77912251,0,0,20
tt0194218,Panic,Panic,0,2000,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,8343.0,48000000,197079546,0,0,21
tt0195234,Saving Grace,Saving Grace,0,2000,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,18199.0,10000000,26330482,0,0,21
tt0195565,Death-Defying Acts,Death-Defying Acts,0,2005,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,23.0,20000000,8380329,0,0,16
tt0195685,Erin Brockovich,Erin Brockovich,0,2000,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,187930.0,52000000,256271286,1,1,21
tt0195714,Final Destination,Final Destination,0,2000,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,242581.0,23000000,112880294,0,0,21
tt0195778,Here on Earth,Here on Earth,0,2000,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,8540.0,15000000,10873148,0,0,21
tt0195945,Next Friday,Next Friday,0,2000,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,38975.0,11000000,59827328,0,0,21
