tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,Game-Show,History,Music,Musical,News,Reality-TV,Sci-Fi,Short,Sport,Talk-Show,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector
tt0122459,Return to Me,Return to Me,0,2000,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,20598.0,24000000,36609995,True,False
tt0125022,Heartbreakers,Heartbreakers,0,2001,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,53331.0,35000000,57756408,True,False
tt0126029,Shrek,Shrek,0,2001,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,642630.0,60000000,487853320,True,False
tt0127349,Waking the Dead,Waking the Dead,0,2000,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,7105.0,8500000,327418,True,False
tt0128158,Deadfall,Deadfall,0,2000,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,98.0,12000000,66351,False,False
tt0130623,Dinosaur,Dinosaur,0,2000,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,57343.0,127500000,354248063,False,False
tt0131597,Split,Split,0,2004,700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.1,23.0,9000000,278454358,False,False
tt0131704,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,20062.0,76000000,35134820,True,True
tt0132245,Driven,Driven,0,2001,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6,40548.0,94000000,54744738,True,True
tt0133152,Planet of the Apes,Planet of the Apes,0,2001,119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.7,215552.0,170000000,710644566,True,True
tt0133240,Treasure Planet,Treasure Planet,0,2002,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,110642.0,140000000,109578115,True,True
tt0134084,Scream 3,Scream 3,0,2000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,130855.0,40000000,161834276,True,True
tt0134847,Pitch Black,Pitch Black,0,2000,109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.1,232604.0,23000000,53187659,True,False
tt0135707,Wind River,Wind River,0,2000,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.4,375.0,11000000,44998252,False,False
tt0138288,All Saints Day,All Saints Day,0,2000,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,81.0,8000000,10629321,False,False
tt0138524,Intolerable Cruelty,Intolerable Cruelty,0,2003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,95119.0,60000000,119940815,True,True
tt0138749,The Road to El Dorado,The Road to El Dorado,0,2000,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,90882.0,95000000,76432727,True,True
tt0139654,Training Day,Training Day,0,2001,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,412783.0,45000000,104876233,True,True
tt0141907,Town & Country,Town & Country,0,2001,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4919.0,90000000,10372291,True,True
tt0141926,U-571,U-571,0,2000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.6,80698.0,62000000,127666415,True,True
tt0144528,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,0,2000,106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.4,50108.0,84000000,123307945,True,True
tt0144964,Highlander: Endgame,Highlander: Endgame,0,2000,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6,20062.0,25000000,15843608,True,False
tt0145487,Spider-Man,Spider-Man,0,2002,121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,732640.0,139000000,821708551,True,True
tt0145937,Naqoyqatsi,Naqoyqatsi,0,2002,89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.6,5757.0,3000000,13308,True,True
tt0146309,Thirteen Days,Thirteen Days,0,2000,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.3,57260.0,80000000,34566746,True,True
tt0146316,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.8,204844.0,115000000,274703340,True,True
tt0146882,High Fidelity,High Fidelity,0,2000,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.5,174689.0,30000000,47126295,True,True
tt0146984,The Legend of Bagger Vance,The Legend of Bagger Vance,0,2000,126,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6.7,55644.0,80000000,39459427,True,True
tt0151685,Love,My Father's Love,0,2001,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,20.0,30000000,102820008,False,False
tt0156812,My Dog Skip,My Dog Skip,0,2000,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,20012.0,6000000,35547761,True,True
tt0156841,The Next Best Thing,The Next Best Thing,0,2000,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,11162.0,25000000,24362772,True,True
tt0157472,Clockstoppers,Clockstoppers,0,2002,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,13977.0,26000000,38793283,True,False
tt0158622,The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,22992.0,83000000,59468275,True,True
tt0159273,Behind Enemy Lines,Behind Enemy Lines,0,2001,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,102568.0,40000000,91753202,True,False
tt0159365,Cold Mountain,Cold Mountain,0,2003,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.2,144690.0,79000000,173013509,True,True
tt0159371,Impact,Coping,0,2000,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,91.0,15000000,30102717,False,False
tt0160009,The Art of War,The Art of War,0,2000,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,29537.0,40000000,30199105,True,False
