,# director_name
1067,Scott Frank
1068,Mikael Håfström
1069,Florian Zeller
1070,Gary Winick
1071,José Padilha
1073,Mike Figgis
1075,Asif Kapadia
1077,Kirsten Sheridan
1078,Richard Glatzer
1079,George Tillman Jr.
1080,Tarsem Singh
1081,Chris Noonan
1082,Michael Apted
1083,Walter Salles
1086,Michael Showalter
1087,Lukas Moodysson
1088,Karan Johar
1089,James Ivory
1091,Dennis Gansel
1093,Jim Sharman
1094,Morgan Spurlock
1095,John Curran
1096,Charles Laughton
1097,Tommy Wirkola
1099,Mike Binder
1100,Gavin Hood
1101,James Foley
1102,John Hamburg
1103,Jon Amiel
1105,Sean Baker
1110,Phil Alden Robinson
1111,John Maybury
1112,Russell Mulcahy
1113,Bruce Beresford
1114,Billy Bob Thornton
1115,Grant Heslov
1116,Richard Eyre
1117,Ryan Coogler
1118,Vincent Ward
1120,Vincent Paronnaud
1121,Michael Lehmann
1122,Justin Chadwick
1123,Richard Ayoade
1124,Dennis Hopper
1127,Mark Pellington
1128,Olivier Dahan
1129,Denzel Washington
1130,Benh Zeitlin
1131,Tim Robbins
1133,Brian G. Hutton
1135,Henry Alex Rubin
1137,Jim Henson
1138,Ruben Östlund
1139,Saul Dibb
1141,Andrey Zvyagintsev
1143,Mike Mills
1144,Joel Zwick
1147,David Koepp
1148,Mark Waters
1149,Bobcat Goldthwait
1150,Daniel Barber
1151,Paul Brickman
1152,Ryan Fleck
1153,Herbert Ross
1154,Tobe Hooper
1155,Malik Bendjelloul
1156,Shane Carruth
1157,Vadim Perelman
1158,Rob Burnett
1159,Charlie Kaufman
1162,Steven Shainberg
1164,Robert Rossen
1165,Todd Solondz
1166,Gregor Jordan
1168,Mick Jackson
1169,Ariel Vromen
1171,Peter Webber
1172,Christine Jeffs
1173,Daniel Monzón
1174,Paolo Genovese
1177,Ari Folman
1178,Ryan Murphy
1179,Cristian Mungiu
1180,Ernest B. Schoedsack
1181,Merian C. Cooper
1182,Bill Condon
1183,Robert Wiene
1184,Gaspar Noé
1185,Atom Egoyan
1186,John McNaughton
1187,Pablo Larraín
1189,Hideo Nakata
1191,Jeremiah S. Chechik
1192,Mark Tonderai
1194,Christophe Barratier
1195,Fabián Bielinsky
1196,Liev Schreiber
1197,Gillo Pontecorvo
1198,Jonathan Glazer
1199,Nicole Holofcener
1201,Jonah Hill
1203,Robert Lorenz
1204,Edward Norton
1205,Laura Poitras
1206,Rowan Joffe
1207,Yôjirô Takita
1208,Guillaume Canet
1209,Na Hong-jin
1210,Brian Levant
1211,Christopher Morris
1212,Hany Abu-Assad
1213,Xavier Dolan
1217,Peter Yates
1218,David Gordon Green
1219,Peter Faiman
1221,Gustav Möller
1222,Scott Hicks
1225,Macon Blair
1226,Dee Rees
1227,Henry Koster
1228,Timo Vuorensola
