# director_name
Frances H. Flaherty
Carl Theodor Dreyer
Jules Dassin
Lucian Pintilie
Josef von Sternberg
Jean-Pierre Jeunet
Goran Markovic
Ashutosh Gowariker
John Frankenheimer
Andrzej Wajda
Stanley Donen
Lloyd Bacon
Kenji Misumi
Hirokazu Koreeda
Marcel Carné
Franklin J. Schaffner
Carol Reed
Abbas Kiarostami
Takeshi Kitano
Dragan Bjelogrlic
Tim Burton
W.S. Van Dyke
Pietro Germi
Brian De Palma
Ettore Scola
Wes Anderson
George Roy Hill
Zeki Demirkubuz
Guy Ritchie
Peter Bogdanovich
Park Chan-Wook
Terry Jones
Andrew Stanton
Costa-Gavras
Sam Mendes
Michael Mann
Nesli Çölgeçen
Luis García Berlanga
Paul Greengrass
Robert Aldrich
Alfonso Cuarón
George Lucas
Roberto Benigni
Mamoru Oshii
Kaneto Shindô
John Woo
Luc Besson
George Roy Hill
Pedro Almodóvar
Alain Resnais
Danny Boyle
Victor Sjöström
Tomás Gutiérrez Alea
Lars von Trier
William Dieterle
D.W. Griffith
Lilly Wachowski
Farhan Akhtar
Nicholas Ray
Jacques Becker
Arthur Penn
Vladimir Menshov
Hiroshi Teshigahara
Claude Berri
Thomas Vinterberg
Jim Jarmusch
Kátia Lund
Max Ophüls
Irvin Kershner
Mike Leigh
Peter Weir
Lasse Hallström
Edward Sedgwick
John McTiernan
Paul Thomas Anderson
John Sturges
Wen Jiang
Henry King
Vishal Bhardwaj
Bozidar 'Bota' Nikolic
Isao Takahata
Fernando Meirelles
Shohei Imamura
Sam Peckinpah
Oliver Stone
Tony Kaye
Orhan Aksoy
Shimit Amin
Yasuzô Masumura
Brad Bird
Alan Parker
Ken Loach
Aki Kaurismäki
Jirí Menzel
John Cromwell
Chang-dong Lee
Blake Edwards
Jim Sheridan
Ronald Neame
Hal Ashby
Sergei M. Eisenstein
Michael Haneke
Juan José Campanella
Erich von Stroheim
William Friedkin
Vincente Minnelli
Edward Zwick
Denis Villeneuve
Yoshishige Yoshida
Marco Tullio Giordana
Don Siegel
Goran Paskaljevic
Damián Szifron
Shekhar Kapur
Kim Ki-duk
Spike Lee
Yôji Yamada
Fatih Akin
Serdar Akar
Edward Yang
Mikhail Kalatozov
David Lynch
Stanley Kubrick
Christopher Nolan
Ingmar Bergman
Alfred Hitchcock
Alejandro G. Iñárritu
Woody Allen
Denis Villeneuve
Darren Aronofsky
Joel Coen
Quentin Tarantino
Steven Spielberg
Roman Polanski
Peter Jackson
David Fincher
Tim Burton
Nuri Bilge Ceylan
David Cronenberg
Guy Ritchie
Frank Darabont
Martin Scorsese
Michael Mann
James Cameron
Vince Gilligan
Andrei Tarkovsky
Zeki Demirkubuz
Brian De Palma
J.J. Abrams
Charles Chaplin
Marc Forster
Ridley Scott
Michael Haneke
Danny Boyle
Federico Fellini
Sidney Lumet
Milos Forman
Orson Welles
Alfonso Cuarón
Paul Greengrass
Luc Besson
Mel Gibson
Clint Eastwood
Francis Ford Coppola
Paul Thomas Anderson
Peter Weir
Sam Mendes
Richard Linklater
Michael Curtiz
Jaco Van Dormael
Xavier Dolan
Lars von Trier
Steven Soderbergh
Jean-Marc Vallée
Gus Van Sant
Lana Wachowski
David Yates
Robert Zemeckis
Michel Gondry
Duncan Jones
Neil Burger
Edward Zwick
Zack Snyder
Doug Liman
Curtis Hanson
Akira Kurosawa
