# director_name
Frances H. Flaherty
Ridley Scott
Fred Zinnemann
Michael Powell
Satyajit Ray
Quentin Tarantino
Werner Herzog
John Cassavetes
Nicholas Ray
Robert Altman
Roberto Rossellini
Max Ophüls
Paul Thomas Anderson
Luchino Visconti
John Frankenheimer
Krzysztof Kieslowski
Rainer Werner Fassbinder
Pier Paolo Pasolini
Carol Reed
Michael Haneke
David Cronenberg
Preston Sturges
D.W. Griffith
Sam Peckinpah
Nicolas Roeg
Joseph L. Mankiewicz
Jean-Pierre Melville
James Cameron
Jean Vigo
Brian De Palma
David Fincher
Wim Wenders
Hayao Miyazaki
Leo McCarey
Michael Mann
Oliver Stone
Lars von Trier
Abbas Kiarostami
Henri-Georges Clouzot
Erich von Stroheim
Josef von Sternberg
Raoul Walsh
King Vidor
Mike Nichols
William Friedkin
Robert Zemeckis
Victor Fleming
John Carpenter
Kar-Wai Wong
Louis Malle
Norman Jewison
Jacques Tourneur
Hal Ashby
Mike Leigh
Robert Aldrich
Peter Weir
Bob Fosse
Otto Preminger
Peter Bogdanovich
Alain Resnais
Alexander Mackendrick
Samuel Fuller
Stanley Donen
Ang Lee
Wes Anderson
Douglas Sirk
George Lucas
Don Siegel
James Whale
Arthur Penn
Sydney Pollack
Richard Brooks
Jacques Tati
John Boorman
René Clair
Stanley Kramer
Hsiao-Hsien Hou
Yimou Zhang
Éric Rohmer
Edward Yang
Jim Jarmusch
Michael Cimino
Christopher Nolan
Spike Lee
Marcel Carné
Darren Aronofsky
Alexander Payne
Tod Browning
Jean Cocteau
Pedro Almodóvar
Rob Reiner
Anthony Mann
Andrzej Wajda
Ken Loach
Gus Van Sant
John Schlesinger
Alan J. Pakula
Nagisa Ôshima
Peter Jackson
Blake Edwards
Mervyn LeRoy
Mel Brooks
Barry Levinson
Jules Dassin
Robert Siodmak
Martin Ritt
Joseph Losey
Jean-Pierre Dardenne
Theodoros Angelopoulos
Jane Campion
Béla Tarr
George A. Romero
John Sturges
Alejandro G. Iñárritu
Steven Soderbergh
Lindsay Anderson
Jacques Rivette
William A. Wellman
Robert Rossen
Franklin J. Schaffner
Jonathan Demme
Mikio Naruse
Jacques Demy
Richard Linklater
Sergei Parajanov
Alfonso Cuarón
Bong Joon Ho
Tim Burton
Terry Gilliam
Kathryn Bigelow
John Hughes
Paul Verhoeven
Masaki Kobayashi
George Roy Hill
Gillo Pontecorvo
Claire Denis
James L. Brooks
Errol Morris
Chris Marker
Agnès Varda
Terence Davies
Danny Boyle
Georg Wilhelm Pabst
Stephen Frears
Emir Kusturica
Aki Kaurismäki
Frank Borzage
Claude Chabrol
Sam Mendes
Jacques Becker
Robert Redford
Cecil B. DeMille
Dziga Vertov
René Clément
Costa-Gavras
Rouben Mamoulian
Laurence Olivier
Guillermo del Toro
Warren Beatty
Giuseppe Tornatore
Richard Attenborough
John Woo
Víctor Erice
Aleksandr Sokurov
Robert J. Flaherty
Stan Brakhage
David Hand
Charles Laughton
Georges Méliès
